Code,Weight,Length,Hg_M,Hg_L,Year,Area,Author,Sex,,
PRS1,2.5,61.3,0.3,1.2,2008,R.Sul,Silveira,F,,
PRS2,2.2,65,0.4,2.1,2008,R.Sul,Silveira,m,,
PRS3,2.3,65,0.4,2.2,2008,R.Sul,Silveira,F,,
PRS4,2.5,66.8,1,3.9,2008,R.Sul,Silveira,F,,
PRS5,2.2,68.1,0.5,3,2008,R.Sul,Silveira,m,,
PRS6,1.8,62.3,0.5,2.6,2008,R.Sul,Silveira,F,,
PRS7,2.2,62.5,0.3,2.8,2008,R.Sul,Silveira,F,,
PRS8,2.5,62.8,0.3,4.7,2008,R.Sul,Silveira,ND,,
PRS9,2.5,65,0.4,3.3,2008,R.Sul,Silveira,M,,
PRS10,2.6,66.5,0.5,3.4,2008,R.Sul,Silveira,M,,
PRS11,2.8,66,0.5,4.1,2008,R.Sul,Silveira,ND,,
PRS12,2.8,67.5,0.5,5.5,2008,R.Sul,Silveira,ND,,
PRS13,2.3,64.2,0.5,3.3,2008,R.Sul,Silveira,ND,,
PRS14,2.1,60,0.5,3.4,2008,R.Sul,Silveira,ND,,
PRJ1,2.2,62,0.3,2.8,2008,Rio,Silveira,M,2.8,3.8
PRJ2,2.2,63,1,6.4,2008,Rio,Silveira,M,6.4,7.4
PRJ3,3,65,0.6,1.2,2008,Rio,Silveira,M,1,2
PRJ4,2.4,67,0.8,1.6,2008,Rio,Silveira,M,1.4,2.4
PRJ5,2.6,67,0.7,1.7,2008,Rio,Silveira,M,1.6,2.6
PRJ6,2.6,62,0.5,1.4,2008,Rio,Silveira,F,1.2,2.2
PRJ7,2.3,59,0.6,1.2,2008,Rio,Silveira,F,1,2
PRJ8,2.3,62,0.7,2.3,2008,Rio,Silveira,F,2,3
PRJ9,2.1,62,0.9,2.5,2008,Rio,Silveira,M,2.4,3.4
PRJ10,2.2,60,0.3,1.1,2008,Rio,Silveira,M,0.9,1.9
PRJ11,2.3,62,0.3,1.1,2008,Rio,Silveira,F,1,2
PRJ12,2.2,56,0.5,0.7,2008,Rio,Silveira,F,0.6,1.6
PRJ13,2.1,60,1,2.1,2008,Rio,Silveira,F,2,3
PRJ14,2.5,58,0.4,1.2,2008,Rio,Silveira,ND,1,2
PRJ15,2.1,61,0.6,0.9,2008,Rio,Silveira,F,0.9,1.9
PRJ16,2,58,0.8,2.5,2008,Rio,Silveira,F,2.4,3.4
PRJ17,1.9,57,0.6,1.5,2008,Rio,Silveira,F,1.4,2.4
PRJ18,1.6,59,1.1,7.2,2008,Rio,Silveira,F,7.2,8.2
PRJ19,2,62,0.3,1.4,2008,Rio,Silveira,F,1.1,2.1
PRJ20,2,64,2,9.7,2008,Rio,Silveira,F,9.7,10.7
PRJ21,1.8,61,0.7,2.3,2008,Rio,Silveira,F,2.1,3.1
PRJ22,2.1,55,0.3,0.9,2008,Rio,Silveira,F,0.7,1.7
PSE1,1.7,62.2,0.5,2.1,2008,Sergipe,Silveira,F,,
PSE2,1.5,61.7,0.7,2.2,2008,Sergipe,Silveira,F,,
PSE3,2.2,63.2,0.6,1.9,2008,Sergipe,Silveira,F,,
PSE4,1.5,61,0.6,2,2008,Sergipe,Silveira,F,,
PSE5,1.6,61.7,0.6,2.3,2008,Sergipe,Silveira,F,,
PSE6,1.7,62.5,0.7,2.7,2008,Sergipe,Silveira,F,,
PSE7,2.1,61.5,0.5,1.9,2008,Sergipe,Silveira,F,,
PSE8,1.4,60.9,0.6,2.8,2008,Sergipe,Silveira,M,,
PSE9,2.3,63.8,0.7,3,2008,Sergipe,Silveira,M,,
PSE10,2.4,66.7,0.6,2.4,2008,Sergipe,Silveira,M,,
PSE11,2,58.3,0.9,2.6,2008,Sergipe,Silveira,F,,
PSE12,1.5,56.2,0.6,2.7,2008,Sergipe,Silveira,F,,
P01,3.7,69,0,0.4,2006,Rio,Vega,ND,,
P02,2,64,0.4,1.3,2006,Rio,Vega,ND,,
P03,2.6,61,0.4,0.9,2006,Rio,Vega,ND,,
P04,3,65,0.4,0.4,2006,Rio,Vega,ND,,
P05,2.3,62,0.4,1.2,2006,Rio,Vega,ND,,
P06,2.2,63,0.3,1,2006,Rio,Vega,ND,,
P07,2.9,65,0.2,1.2,2006,Rio,Vega,ND,,
P08,1.8,58,0.3,1,2006,Rio,Vega,ND,,
P09,2.1,64,0.2,1.1,2006,Rio,Vega,ND,,
P10,2.4,62,0.3,1,2006,Rio,Vega,ND,,
P11,2.1,61,0.2,1.2,2006,Rio,Vega,ND,,
P12,2,60,0.2,0.6,2006,Rio,Vega,ND,,
P13,2,60,0.6,2.1,2006,Rio,Vega,ND,,
P14,1.7,58,0.6,1.8,2006,Rio,Vega,ND,,
P15,2,61,0.4,1.4,2006,Rio,Vega,ND,,
P16,2.2,60,0.3,1.5,2006,Rio,Vega,ND,,
P17,2.7,69,0.1,0.6,2006,Rio,Vega,ND,,
P18,2.1,62,0.4,0.4,2006,Rio,Vega,ND,,
P19,2,66,0.3,1.8,2006,Rio,Vega,ND,,
P20,1.8,62,0.5,1.6,2006,Rio,Vega,ND,,
P21,2.3,65,0.3,1.5,2006,Rio,Vega,ND,,
P22,2.5,70,0.6,2.7,2006,Rio,Vega,ND,,
P23,1.8,60,0.2,1.1,2006,Rio,Vega,ND,,
P24,3,68,0.3,2.9,2006,Rio,Vega,ND,,
P25,2.9,64,0.4,3.2,2006,Rio,Vega,ND,,
P26,2.5,67,0.3,1.4,2006,Rio,Vega,ND,,
P27,2.4,66,0.4,3.1,2006,Rio,Vega,ND,,
P28,1.9,62,0.3,1.3,2006,Rio,Vega,ND,,
P29,3.1,66,0.4,0.7,2006,Rio,Vega,ND,,
P30,2.9,62,0.4,0.5,2006,Rio,Vega,ND,,
P31,2.4,63.6,0.5,1.5,2006,Rio,Vega,ND,,
P32,2.6,76,0.6,2.8,2006,Rio,Vega,ND,,
P33,1.8,50,0.5,2.1,2006,Rio,Vega,ND,,
P34,2.3,65,0.9,4.2,2006,Rio,Vega,ND,,
P35,3,70,0.6,4.6,2006,Rio,Vega,ND,,
PS01,2.4,60,0.2,1,2006,R.Sul,Vega,ND,,
PS02,2.2,58,0.1,0.7,2006,R.Sul,Vega,ND,,
PS03,2.6,65,0.1,1.3,2006,R.Sul,Vega,ND,,
PS04,2.2,63,0,1,2006,R.Sul,Vega,ND,,
PS05,2.1,60,0.1,1.4,2006,R.Sul,Vega,ND,,
PS06,2.1,61,0.5,0.5,2006,R.Sul,Vega,ND,,
PS07,2.4,60,0.1,0.5,2006,R.Sul,Vega,ND,,
PS08,3.9,69,0.2,0.5,2006,R.Sul,Vega,ND,,
PS09,1.7,49,0.3,0.9,2006,R.Sul,Vega,ND,,
PS10,2.7,61,0.1,0.4,2006,R.Sul,Vega,ND,,
PS11,2.7,64,0.1,0.7,2006,R.Sul,Vega,ND,,
PSDATA,2.4,61,0.7,1.8,2006,R.Sul,Vega,ND,,
PING3,1.71,57,0.434,1.21,2012,Rio,Jai,ND,,
PING4,1.59,56,0.307,0.776,2012,Rio,Jai,ND,,
PING-MUSC-7,1.94,59,0.27,0.452,2012,Rio,Jai,ND,,
PING-MUSC-8,1.81,60,0.277,0.523,2012,Rio,Jai,ND,,
PING-MUSC-9,1.79,58,0.417,0.721,2012,Rio,Jai,ND,,
PING-MUSC-10,2.09,62,0.308,0.931,2012,Rio,Jai,ND,,
PING-MUSC-11,1.55,64,0.387,0.711,2012,Rio,Jai,ND,,
PING-MUSC-13,1.79,56,0.289,0.456,2012,Rio,Jai,ND,,
PING-MUSC-15,1.75,55,0.368,0.521,2012,Rio,Jai,ND,,
PING-MUSC-16,2.01,63,0.267,0.323,2012,Rio,Jai,ND,,
PING-MUSC-17,1.67,57,0.293,0.287,2012,Rio,Jai,ND,,
PING-MUSC-19,1.87,58,0.467,0.65,2012,Rio,Jai,ND,,
PING-MUSC-21,2.14,62,0.4,0.711,2012,Rio,Jai,ND,,
PING-MUSC-22,1.86,57,0.373,0.555,2012,Rio,Jai,ND,,
PING-MUSC-23,2.22,65,0.368,1.23,2012,Rio,Jai,ND,,
PING-MUSC-24,1.69,57,0.213,0.388,2012,Rio,Jai,ND,,
PING-MUSC-25,1.69,57,0.308,0.482,2012,Rio,Jai,ND,,
PING-MUSC-26,2.58,59,0.258,0.578,2012,Rio,Jai,ND,,
PING-MUSC-36,1.82,59.5,0.311,0.977,2012,Rio,Jai,ND,,
PING-MUSC-37,2.01,63,0.515,1.35,2012,Rio,Jai,ND,,
PING-MUSC-38,1.91,58,0.416,1.19,2012,Rio,Jai,ND,,
PING-MUSC-39,1.54,53,0.546,0.832,2012,Rio,Jai,ND,,
PING-MUSC-40,2.42,59,0.193,0.394,2012,Rio,Jai,ND,,
PING-MUSC-41,2.02,63,0.419,0.464,2012,Rio,Jai,ND,,
PING-MUSC-43,1.77,60.5,0.458,0.969,2012,Rio,Jai,ND,,
PING-MUSC-44,3.09,63,0.266,0.113,2012,Rio,Jai,ND,,
